old_idx,input_text_ar,target_text_ar,category,triples,data
228,هارون بيرترام | سنة بداية النشاط | 1998.,بدأ آرون بيرترام الأداء في عام 1998.,Artist,1,dev
229,هارون دير | الفنان المرتبط | قرون السعادة,تعاون هارون الغزلان مع فرقة قرون السعادة.,Artist,1,dev
231,آرون تيرنر | النوع | ميتال أفانت جارد,يلعب آرون تيرنر نوع من موسيقى الميتال أفانت جارد.,Artist,1,dev
234,آرون تيرنر | النوع | بلاك ميتال,آرون تيرنر يؤدي موسيقى بلاك ميتال.,Artist,1,dev
237,آرون تيرنر | الأصل | بوسطن,آرون تيرنر نشأ في بوسطن.,Artist,1,dev
240,أبراداب | الفنان المرتبط | ماجيك (مغني الراب),يرتبط أبراداب مع ماجيك (مغني الراب).,Artist,1,dev
243,"أبراداب | خلفية | ""مغني منفرد""",أبراداب لديه خلفية كمغني منفرد.,Artist,1,dev
245,ايس وايلدر | تاريخ الميلاد | 1982-07-23.,ولد ايس وايلدر في 23 يوليو 1982.,Artist,1,dev
248,ايس وايلدر | شركة تسجيلات | سجلات ايمي.,تم توقيع ايس وايلدر على شركة سجلات ايمي.,Artist,1,dev
251,أغوستين باربوزا | شركة تسجيلات | سجلات فيليبس,تم توقيع أغوستين باربوزا على سجلات فيليبس.,Artist,1,dev
254,آلان فريو | الفنان المرتبط | النمر الزجاجي,آلان فاز يلعب مع النمر الزجاجي.,Artist,1,dev
256,ألبيني جونز | أصل | ارتا  مسيسبي,ولد ألبيني جونز في ارتا  مسيسبي.,Artist,1,dev
258,أليسكاندرا كوفاتش | الفنان المرتبط | كورنيلي كوفاتش.,ترتبط أليسكاندرا كوفاتش بكورنيلي كوفاتش.,Artist,1,dev
261,"أليسكاندرا كوفاتش | خلفية | ""مغني منفردا""",أليسكاندرا كوفاتش هي مغنية منفردة.,Artist,1,dev
263,أليسكاندرا كوفاتش | النوع | موسيقى السول,تلعب أليسكاندرا كوفاتش موسيقى السول.,Artist,1,dev
265,ألفريد جارث جونز | موت | لندن,توفي ألفريد جورث جونز في لندن.,Artist,1,dev
266,ألفريدو زيتاروسا | الفنان المرتبط | هيلاريو بيريز.,ألفريدو زيتاروسا مرتبط موسيقيا ب هيلاريو بيريز.,Artist,1,dev
268,ألفريدو زيتاروسا | النوع | ميلونجا (الموسيقى),النوع الموسيقي لألفريدو زيتاروسا هو ميلونجا.,Artist,1,dev
271,ألفريدو زيتاروسا | شركة تسجيلات | موفيبلي ,موفيبلي هي شركة تسجيلات ألفريدو زيتاروسا.,Artist,1,dev
273,أليسون أودونيل | سنة بداية النشاط | 1963.,بدأت أليسون أودونيل في الأداء في عام 1963.,Artist,1,dev
275,ألين فورست | النوع | موسيقى البوب,ألن فورست يلعب موسيقى البوب.,Artist,1,dev
278,أندرس أوزبورن | شركة تسجيلات | سجلات التمساح,"تم توقيع أندرس أوزبورن مع شركة التسجيلات ""سجلات التمساح"".",Artist,1,dev
